inventory_id,product_id,store_id,available_quantity,reorder_level,last_updated
INV000047,P0172,S0071,62,25,2026-03-26
INV000048,P0213,S0004,125,60,2025-12-16
INV000049,P0147,S0259,87,10,2025-09-30
INV000050,P0191,S0213,184,80,2025-09-09
INV000051,P0078,S0272,215,100,2025-08-22
INV000052,P0071,S0220,211,52,2026-04-15
INV000053,P0265,S0186,483,3,2026-03-30
INV000054,P0075,S0006,367,66,2025-03-13
INV000055,P0044,S0174,161,51,2025-06-18
INV000056,P0223,S0032,201,97,2025-02-07
INV000057,P0339,S0078,462,73,2025-03-01
INV000058,P0324,S0267,498,37,2026-03-06
INV000059,P0206,S0284,447,38,2025-11-18
INV000060,P0177,S0005,423,35,2026-06-25
INV000061,P0313,S0076,358,51,2026-04-02
INV000062,P0330,S0106,454,69,2026-03-29
INV000063,P0177,S0208,397,25,2025-11-05
INV000064,P0044,S0019,275,42,2026-02-04
INV000065,P0065,S0267,276,36,2025-08-07
INV000066,P0048,S0262,282,39,2026-06-18
INV000067,P0175,S0082,11,3,2026-07-07
INV000068,P0304,S0133,123,99,2025-11-08
INV000069,P0217,S0259,56,93,2025-03-03
INV000070,P0191,S0133,321,64,2025-12-29
INV000071,P0064,S0025,387,83,2025-05-08
INV000072,P0230,S0153,293,94,2025-01-06
INV000073,P0233,S0174,120,95,2026-08-19
INV000074,P0290,S0274,432,76,2025-08-28
INV000075,P0180,S0154,145,85,2026-08-10
INV000076,P0072,S0194,266,94,2025-09-11
INV000077,P0054,S0168,264,74,2025-07-17
INV000078,P0185,S0233,50,18,2026-03-12
INV000079,P0211,S0042,47,7,2026-03-12
INV000080,P0067,S0244,109,57,2025-03-21
INV000081,P0190,S0270,206,75,2026-07-27
INV000082,P0266,S0203,446,33,2026-08-22
INV000083,P0256,S0217,225,88,2026-05-17
INV000084,P0214,S0084,73,64,2025-05-11
INV000085,P0249,S0235,66,90,2026-06-10
INV000086,P0271,S0061,355,27,2026-04-12
INV000087,P0243,S0017,382,20,2026-07-27
INV000088,P0190,S0061,308,52,2025-04-23
INV000089,P0062,S0190,292,37,2025-02-11
INV000090,P0268,S0079,60,47,2025-11-09
INV000091,P0192,S0156,150,62,2025-01-29
INV000092,P0074,S0073,401,75,2026-03-08
INV000093,P0025,S0157,455,36,2025-08-09
INV000094,P0094,S0251,1,15,2026-07-15
INV000095,P0179,S0035,445,5,2026-03-04
INV000096,P0247,S0294,158,72,2026-04-09
INV000097,P0173,S0194,243,92,2025-05-16
INV000098,P0071,S0259,325,58,2026-04-06
INV000099,P0230,S0077,443,93,2025-11-30
INV000100,P0046,S0210,198,29,2026-02-09
INV000101,P0174,S0277,23,85,2026-03-30
INV000102,P0143,S0046,443,21,2025-01-26
INV000103,P0293,S0159,287,82,2025-05-07
INV000104,P0330,S0287,43,24,2026-07-09
INV000105,P0296,S0028,490,72,2026-06-19
INV000106,P0097,S0244,257,2,2025-05-04
INV000107,P0338,S0273,92,2,2025-10-09
INV000108,P0106,S0126,424,90,2026-08-17
INV000109,P0228,S0044,413,68,2025-11-25
INV000110,P0206,S0302,23,62,2025-01-24
INV000111,P0175,S0224,92,53,2025-01-25
INV000112,P0271,S0163,195,32,2025-04-04
INV000113,P0059,S0051,277,21,2025-10-20
INV000114,P0074,S0094,130,98,2025-04-02
INV000115,P0079,S0158,487,52,2025-06-23
INV000116,P0031,S0167,92,3,2025-03-01
INV000117,P0153,S0200,50,40,2025-05-26
INV000118,P0212,S0166,132,48,2025-05-04
INV000119,P0027,S0104,122,96,2026-08-24
INV000120,P0122,S0253,260,96,2026-06-01
INV000121,P0198,S0059,137,7,2025-11-22
INV000122,P0238,S0284,208,8,2026-05-11
INV000123,P0015,S0209,324,29,2025-01-20
INV000124,P0138,S0284,493,75,2025-04-14
INV000125,P0127,S0285,333,100,2025-05-09
INV000126,P0156,S0291,208,57,2025-03-27
INV000127,P0326,S0257,104,100,2025-05-26
INV000128,P0192,S0277,86,100,2025-09-09
INV000129,P0276,S0217,492,71,2026-04-08
INV000130,P0022,S0001,416,59,2025-10-24
INV000131,P0335,S0086,0,7,2026-05-09
INV000132,P0140,S0307,128,87,2026-01-25
INV000133,P0180,S0109,299,65,2025-10-16
INV000134,P0024,S0083,378,68,2026-07-31
INV000135,P0036,S0154,45,50,2025-05-06
INV000136,P0072,S0285,143,55,2025-08-04
INV000137,P0313,S0259,490,40,2025-12-17
INV000138,P0326,S0134,385,90,2026-04-09
INV000139,P0140,S0126,339,41,2025-12-16
INV000140,P0108,S0236,491,76,2025-12-03
INV000141,P0009,S0069,330,0,2026-05-03
INV000142,P0003,S0005,344,22,2026-02-28
INV000143,P0285,S0251,390,50,2026-07-06
INV000144,P0042,S0040,275,3,2026-04-01
INV000145,P0064,S0181,497,48,2026-01-02
INV000146,P0199,S0091,429,98,2025-01-09
INV000147,P0064,S0237,189,24,2026-04-01
INV000148,P0005,S0114,380,2,2025-10-15
INV000149,P0184,S0099,46,78,2025-11-07
INV000150,P0114,S0120,252,46,2025-02-07
INV000151,P0144,S0253,463,90,2025-08-03
INV000152,P0004,S0101,420,81,2026-02-10
INV000153,P0057,S0143,291,64,2026-05-21
INV000154,P0088,S0283,99,84,2026-08-03
INV000155,P0309,S0290,89,8,2026-08-26
INV000156,P0066,S0034,65,33,2026-08-07
INV000157,P0117,S0268,373,100,2025-10-08
INV000158,P0099,S0012,496,88,2026-06-30
INV000159,P0315,S0130,348,71,2026-04-10
INV000160,P0002,S0219,328,86,2025-02-23
INV000161,P0166,S0222,432,52,2025-10-08
INV000162,P0063,S0266,238,63,2026-01-06
INV000163,P0265,S0023,452,92,2025-08-18
INV000164,P0025,S0143,470,53,2026-06-30
INV000165,P0230,S0162,2,50,2025-07-19
INV000166,P0172,S0042,450,73,2025-01-26
INV000167,P0116,S0217,490,9,2025-09-13
INV000168,P0101,S0085,168,39,2025-03-06
INV000169,P0321,S0050,14,61,2026-03-19
INV000170,P0013,S0304,408,80,2025-12-09
INV000171,P0129,S0127,55,60,2025-09-02
INV000172,P0175,S0028,420,42,2026-06-17
INV000173,P0122,S0038,397,76,2026-03-26
INV000174,P0049,S0229,296,15,2025-03-29
INV000175,P0032,S0018,193,40,2025-03-08
INV000176,P0066,S0032,470,56,2025-02-26
INV000177,P0155,S0222,33,13,2025-02-27
INV000178,P0287,S0027,150,48,2026-02-16
INV000179,P0050,S0211,119,76,2025-01-11
INV000180,P0233,S0197,237,54,2025-04-14
INV000181,P0174,S0014,232,66,2025-12-03
INV000182,P0301,S0099,55,13,2025-01-13
INV000183,P0305,S0035,303,24,2026-08-10
INV000184,P0065,S0261,131,45,2026-03-08
INV000185,P0247,S0228,95,31,2025-05-21
INV000186,P0023,S0031,65,39,2026-08-22
INV000187,P0224,S0263,491,83,2026-01-02
INV000188,P0160,S0299,453,69,2025-05-30
INV000189,P0076,S0241,158,77,2025-12-18
INV000190,P0150,S0189,496,1,2026-06-15
INV000191,P0301,S0075,29,30,2026-06-04
INV000192,P0287,S0028,216,44,2025-07-20
INV000193,P0103,S0104,402,8,2025-12-16
INV000194,P0097,S0244,355,88,2026-04-24
INV000195,P0308,S0170,436,74,2026-08-03
INV000196,P0172,S0154,214,42,2025-06-16
INV000197,P0054,S0233,448,5,2026-05-23
INV000198,P0113,S0002,327,28,2025-08-24
INV000199,P0239,S0110,122,61,2025-12-06
INV000200,P0193,S0106,204,23,2025-01-07
INV000201,P0186,S0006,37,45,2025-01-31
INV000202,P0285,S0059,72,37,2026-03-27
INV000203,P0100,S0300,467,97,2026-01-04
INV000204,P0023,S0016,101,25,2025-10-18
INV000205,P0090,S0113,453,33,2025-06-28
INV000206,P0174,S0284,125,22,2025-07-20
INV000207,P0012,S0091,431,33,2025-04-14
INV000208,P0011,S0071,194,83,2025-04-24
INV000209,P0174,S0108,156,58,2025-09-03
INV000210,P0190,S0191,338,21,2026-06-24
INV000211,P0320,S0223,449,91,2025-03-08
INV000212,P0061,S0074,451,16,2025-07-14
INV000213,P0099,S0273,193,88,2026-01-19
INV000214,P0163,S0307,219,81,2025-09-08
INV000215,P0024,S0301,96,68,2025-10-29
INV000216,P0077,S0168,126,6,2025-10-14
INV000217,P0065,S0261,495,74,2026-05-16
INV000218,P0108,S0042,401,60,2025-03-08
INV000219,P0086,S0261,198,96,2026-06-06
INV000220,P0192,S0256,265,59,2025-07-03
INV000221,P0165,S0192,269,88,2026-05-10
INV000222,P0254,S0243,137,74,2026-02-15
INV000223,P0327,S0299,332,4,2025-08-01
INV000224,P0113,S0104,231,30,2026-02-10
INV000225,P0112,S0157,217,48,2026-08-09
INV000226,P0081,S0192,130,70,2025-03-28
INV000227,P0069,S0044,151,56,2026-06-16
INV000228,P0181,S0118,298,5,2026-04-22
INV000229,P0263,S0173,218,57,2026-04-24
INV000230,P0222,S0210,188,63,2025-11-21
INV000231,P0140,S0196,12,22,2026-03-29
INV000232,P0120,S0136,330,9,2026-01-03
INV000233,P0043,S0151,431,64,2026-06-10
INV000234,P0280,S0041,402,35,2025-08-22
INV000235,P0051,S0061,36,46,2025-02-09
INV000236,P0280,S0103,170,25,2025-12-04
INV000237,P0129,S0155,381,98,2025-10-09
INV000238,P0098,S0071,437,96,2026-07-11
INV000239,P0134,S0005,394,38,2025-10-16
INV000240,P0178,S0207,484,51,2026-08-17
INV000241,P0336,S0007,241,83,2026-06-09
INV000242,P0077,S0204,116,29,2025-08-03
INV000243,P0243,S0120,264,75,2026-07-20
INV000244,P0240,S0237,174,10,2025-11-17
INV000245,P0097,S0220,394,89,2026-03-04
INV000246,P0108,S0225,230,71,2025-01-31
INV000247,P0192,S0072,295,16,2025-11-09
INV000248,P0005,S0256,414,84,2025-12-30
INV000249,P0174,S0116,214,54,2026-02-18
INV000250,P0276,S0154,166,75,2025-01-24
INV000251,P0291,S0017,472,17,2025-06-07
INV000252,P0170,S0291,322,77,2026-08-11
INV000253,P0201,S0196,104,50,2025-03-07
INV000254,P0274,S0198,96,60,2025-04-22
INV000255,P0169,S0292,492,57,2025-11-08
INV000256,P0048,S0088,53,86,2026-07-21
INV000257,P0091,S0017,423,88,2026-05-16
INV000258,P0014,S0096,101,8,2026-01-31
INV000259,P0146,S0106,119,37,2026-06-21
INV000260,P0036,S0233,29,47,2026-06-15
INV000261,P0006,S0088,167,52,2026-02-05
INV000262,P0081,S0057,66,68,2026-03-05
INV000263,P0245,S0036,199,26,2025-05-14
INV000264,P0106,S0159,221,90,2026-05-02
INV000265,P0082,S0295,480,39,2026-08-25
INV000266,P0104,S0258,366,87,2026-04-15
INV000267,P0142,S0104,3,18,2026-04-02
INV000268,P0033,S0205,309,31,2026-06-23
INV000269,P0169,S0292,450,62,2026-04-17
INV000270,P0237,S0295,20,94,2025-04-04
INV000271,P0148,S0234,177,89,2025-11-01
INV000272,P0201,S0090,212,31,2025-07-03
INV000273,P0317,S0222,234,49,2025-07-07
INV000274,P0292,S0049,201,89,2025-02-14
INV000275,P0123,S0081,140,80,2026-07-05
INV000276,P0150,S0035,357,92,2025-08-11
INV000277,P0253,S0211,390,70,2025-05-05
INV000278,P0189,S0040,386,13,2026-06-01
INV000279,P0167,S0210,230,21,2025-09-16
INV000280,P0107,S0260,22,59,2025-01-28
INV000281,P0038,S0237,195,43,2026-02-13
INV000282,P0100,S0204,19,1,2025-09-14
INV000283,P0059,S0070,167,85,2026-04-21
INV000284,P0249,S0237,34,10,2026-07-16
INV000285,P0337,S0125,365,56,2025-05-24
INV000286,P0242,S0143,430,20,2025-06-24
INV000287,P0010,S0052,90,37,2025-05-08
INV000288,P0274,S0201,86,9,2025-01-12
INV000289,P0140,S0079,225,45,2025-07-02
INV000290,P0111,S0018,457,86,2026-06-30
INV000291,P0111,S0227,356,6,2026-06-20
INV000292,P0329,S0053,199,88,2025-11-12
INV000293,P0228,S0027,306,0,2025-02-19
INV000294,P0194,S0104,475,31,2026-01-19
INV000295,P0123,S0103,46,2,2026-03-08
INV000296,P0015,S0008,172,24,2025-03-06
INV000297,P0113,S0050,408,85,2025-06-21
INV000298,P0086,S0023,212,65,2025-04-21
INV000299,P0168,S0166,287,80,2025-07-14
INV000300,P0320,S0107,478,69,2026-02-09
INV000301,P0220,S0062,118,27,2025-04-19
INV000302,P0183,S0166,88,1,2026-02-16
INV000303,P0335,S0162,6,49,2025-08-06
INV000304,P0235,S0113,33,84,2025-10-13
INV000305,P0333,S0189,22,8,2025-08-12
INV000306,P0211,S0155,392,76,2026-05-27
INV000307,P0053,S0275,405,72,2025-06-25
INV000308,P0129,S0049,307,41,2026-02-02
INV000309,P0069,S0171,89,81,2025-11-22
INV000310,P0247,S0035,171,2,2026-08-23
INV000311,P0230,S0196,261,81,2025-08-27
INV000312,P0258,S0301,360,1,2025-08-27
INV000313,P0011,S0064,158,30,2026-03-15
INV000314,P0125,S0041,30,17,2026-01-19
INV000315,P0256,S0152,103,19,2026-01-20
INV000316,P0105,S0020,121,92,2026-03-31
INV000317,P0169,S0069,142,40,2025-02-10
INV000318,P0267,S0213,331,36,2025-01-25
INV000319,P0118,S0170,175,31,2025-07-30
INV000320,P0277,S0028,464,85,2025-09-12
INV000321,P0114,S0196,266,41,2025-07-07
INV000322,P0227,S0004,33,62,2025-03-13
INV000323,P0099,S0027,324,18,2025-07-29
INV000324,P0065,S0047,88,75,2026-07-17
INV000325,P0105,S0121,259,10,2026-03-13
INV000326,P0240,S0160,84,92,2025-07-22
INV000327,P0126,S0218,90,77,2025-09-12
INV000328,P0156,S0147,295,57,2025-07-26
INV000329,P0140,S0247,40,46,2026-02-12
INV000330,P0194,S0086,241,56,2026-03-09
INV000331,P0259,S0222,389,19,2026-05-09
INV000332,P0011,S0196,218,10,2025-11-04
INV000333,P0305,S0276,78,70,2025-06-29
INV000334,P0132,S0195,237,39,2026-04-10
INV000335,P0146,S0193,287,77,2026-05-08
INV000336,P0037,S0171,69,91,2026-04-26
INV000337,P0101,S0080,469,24,2025-01-05
INV000338,P0007,S0257,373,92,2026-01-19
INV000339,P0252,S0208,473,53,2026-02-09
INV000340,P0192,S0197,250,39,2026-08-26
INV000341,P0037,S0210,453,4,2025-05-08
INV000342,P0198,S0290,83,24,2026-03-23
INV000343,P0131,S0179,260,90,2026-05-16
INV000344,P0326,S0189,356,7,2026-01-30
INV000345,P0218,S0127,124,61,2025-02-05
INV000345,,S0001,50,10,2026-08-01
INV000346,P0001,,50,10,2026-08-01
INV000347,P0001,S0001,-10,10,2026-08-01
INV000348,P0001,S0001,10,-5,2026-08-01
INV000349,P0002,S0002,0,20,2026-08-01
INV000350,P0003,S0003,5,20,2026-08-01
INV000351,P0004,S0004,50,10,not-a-date
INV000352,P9999,S0005,50,10,2026-08-01
INV000353,P0005,S9999,50,10,2026-08-01
INV000354,P0006,S0006,50,10,2026-08-01
INV000354,P0007,S0007,50,10,2026-08-01
,P0008,S0008,50,10,2026-08-01
INV000357,P0009,S0009,,10,2026-08-01
INV000358,P0010,S0010,50,,2026-08-01
INV000359,P0011,S0011,50,10,2026-08-01
